"","area_code","area","cluster_code","cluster","pathway_code","pathway","soc_code","soc_title","predominant_occ_prep_combo","predominant_education_level","training","work_experience","2020_nontrad_status","estimate","projection","change","fraction_change","fraction_change_us","annual_openings","mean_income","median_income","pathway_for_labels"
"11","0","Virginia","1","Agriculture, Food, and Natural Resources","1.2000000476837158","Plant Systems","191013","Soil and Plant Scientists","Bachelor's Degree","Bachelor's Degree",NA,NA,"No data",180,192,12,0.0666666701436043,0.076,22,69855,62286,"Plant
Systems"
"12","0","Virginia","1","Agriculture, Food, and Natural Resources","1.2000000476837158","Plant Systems","373012","Pesticide Handlers, Sprayers, and Applicators, Vegetation","Some College / Associate Degree & Training / Certification","Some College / Associate Degree","Training / Certification",NA,"No data",882,941,59,0.0668934211134911,0.068,124,36938,34874,"Plant
Systems"
"13","0","Virginia","1","Agriculture, Food, and Natural Resources","1.2999999523162842","Animal Systems",NA,NA,NA,NA,NA,NA,"No data",8937,11889,2952,0.330312192440033,NA,1367,NA,NA,"Animal
Systems"
"14","0","Virginia","1","Agriculture, Food, and Natural Resources","1.2999999523162842","Animal Systems","291131","Veterinarians","Graduate / Professional Degree","Graduate / Professional Degree",NA,NA,"N",2984,3917,933,0.312667548656464,0.184,226,127543,99198,"Animal
Systems"
"15","0","Virginia","1","Agriculture, Food, and Natural Resources","1.2999999523162842","Animal Systems","292056","Veterinary Technologists and Technicians","Some College / Associate Degree","Some College / Associate Degree",NA,NA,"M",1960,2628,668,0.3408163189888,0.193,252,39740,38489,"Animal
Systems"
"16","0","Virginia","1","Agriculture, Food, and Natural Resources","1.2999999523162842","Animal Systems","319096","Veterinary Assistants and Laboratory Animal Caretakers","Some College / Associate Degree & Training / Certification","Some College / Associate Degree","Training / Certification",NA,"M",3993,5344,1351,0.338342100381851,0.191,889,27608,27196,"Animal
Systems"
"17","0","Virginia","1","Agriculture, Food, and Natural Resources","1.3999999761581421","Power, Structural, and Technical Systems",NA,NA,NA,NA,NA,NA,"No data",920,958,38,0.0413043461740017,NA,97,NA,NA,"Power,
Structural,
and
Technical
Systems"
"18","0","Virginia","1","Agriculture, Food, and Natural Resources","1.3999999761581421","Power, Structural, and Technical Systems","493041","Farm Equipment Mechanics and Service Technicians","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",920,958,38,0.0413043461740017,0.037,97,38895,38733,"Power,
Structural,
and
Technical
Systems"
"19","0","Virginia","1","Agriculture, Food, and Natural Resources","1.5","Natural Resources Systems",NA,NA,NA,NA,NA,NA,"No data",4246,4383,137,0.0322656631469727,NA,553,NA,NA,"Natural
Resources
Systems"
"20","0","Virginia","1","Agriculture, Food, and Natural Resources","1.5","Natural Resources Systems","119121","Natural Sciences Managers","Graduate / Professional Degree & Work experience","Graduate / Professional Degree",NA,"Work experience","No data",1348,1404,56,0.0415430255234241,0.059,127,135944,128502,"Natural
Resources
Systems"
"21","0","Virginia","1","Agriculture, Food, and Natural Resources","1.5","Natural Resources Systems","191032","Foresters","Bachelor's Degree","Bachelor's Degree",NA,NA,"No data",320,338,18,0.0562499985098839,0.013,36,60984,56517,"Natural
Resources
Systems"
"22","0","Virginia","1","Agriculture, Food, and Natural Resources","1.5","Natural Resources Systems","194093","Forest and Conservation Technicians","Some College / Associate Degree","Some College / Associate Degree",NA,NA,"No data",310,321,11,0.0354838706552982,0.017,39,42813,40778,"Natural
Resources
Systems"
"23","0","Virginia","1","Agriculture, Food, and Natural Resources","1.5","Natural Resources Systems","333031","Fish and Game Wardens","Bachelor's Degree & Training / Certification","Bachelor's Degree","Training / Certification",NA,"No data",244,253,9,0.0368852466344833,0.017,19,52379,50314,"Natural
Resources
Systems"
"24","0","Virginia","1","Agriculture, Food, and Natural Resources","1.5","Natural Resources Systems","454021","Fallers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",295,284,-11,-0.037288136780262,-0.18,45,42852,40980,"Natural
Resources
Systems"
"25","0","Virginia","1","Agriculture, Food, and Natural Resources","1.5","Natural Resources Systems","454022","Logging Equipment Operators","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",1572,1628,56,0.0356234088540077,-0.138,262,43900,41550,"Natural
Resources
Systems"
"26","0","Virginia","1","Agriculture, Food, and Natural Resources","1.5","Natural Resources Systems","454023","Log Graders and Scalers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",157,155,-2,-0.0127388536930084,-0.076,25,36300,34968,"Natural
Resources
Systems"
"27","0","Virginia","1","Agriculture, Food, and Natural Resources","1.6000000238418579","Environmental Service Systems",NA,NA,NA,NA,NA,NA,"No data",13673,14390,717,0.0524391122162342,NA,1628,NA,NA,"Environmental
Service
Systems"
"28","0","Virginia","1","Agriculture, Food, and Natural Resources","1.6000000238418579","Environmental Service Systems","172081","Environmental Engineers","Bachelor's Degree","Bachelor's Degree",NA,NA,"No data",1308,1352,44,0.0336391441524029,0.051,105,87833,85269,"Environmental
Service
Systems"
"29","0","Virginia","1","Agriculture, Food, and Natural Resources","1.6000000238418579","Environmental Service Systems","173025","Environmental Engineering Technicians","Some College / Associate Degree","Some College / Associate Degree",NA,NA,"No data",326,348,22,0.0674846619367599,0.086,35,47879,45478,"Environmental
Service
Systems"
"30","0","Virginia","1","Agriculture, Food, and Natural Resources","1.6000000238418579","Environmental Service Systems","192041","Environmental Scientists and Specialists, Including Health","Bachelor's Degree","Bachelor's Degree",NA,NA,"No data",3348,3559,211,0.0630227029323578,0.082,394,87040,76367,"Environmental
Service
Systems"
"31","0","Virginia","1","Agriculture, Food, and Natural Resources","1.6000000238418579","Environmental Service Systems","194091","Environmental Science and Protection Technicians, Including Health","Bachelor's Degree","Bachelor's Degree",NA,NA,"No data",1047,1122,75,0.0716332346200943,0.092,137,47971,41653,"Environmental
Service
Systems"
"32","0","Virginia","1","Agriculture, Food, and Natural Resources","1.6000000238418579","Environmental Service Systems","474041","Hazardous Materials Removal Workers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",1147,1288,141,0.122929379343987,0.106,167,39932,38620,"Environmental
Service
Systems"
"33","0","Virginia","1","Agriculture, Food, and Natural Resources","1.6000000238418579","Environmental Service Systems","518031","Water and Wastewater Treatment Plant and System Operators","Some College / Associate Degree & Training / Certification","Some College / Associate Degree","Training / Certification",NA,"F",3094,2987,-107,-0.0345830656588078,-0.048,265,47367,45403,"Environmental
Service
Systems"
"34","0","Virginia","1","Agriculture, Food, and Natural Resources","1.6000000238418579","Environmental Service Systems","537081","Refuse and Recyclable Material Collectors","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"F",3403,3734,331,0.0972671136260033,0.082,525,36822,32239,"Environmental
Service
Systems"
"35","0","Virginia","1","Agriculture, Food, and Natural Resources","1.7000000476837158","Agribusiness Systems",NA,NA,NA,NA,NA,NA,"No data",33663,32830,-833,-0.0247452687472105,NA,3220,NA,NA,"Agribusiness
Systems"
"36","0","Virginia","1","Agriculture, Food, and Natural Resources","1.7000000476837158","Agribusiness Systems","119013","Farmers, Ranchers, and Other Agricultural Managers","HS Diploma & Work experience","High School Diploma",NA,"Work experience","N",33663,32830,-833,-0.0247452687472105,-0.009,3220,86270,87839,"Agribusiness
Systems"
"37","0","Virginia","2","Architecture and Construction",NA,NA,NA,NA,NA,NA,NA,NA,"No data",378461,412764,34303,0.0906381383538246,NA,47599,NA,NA,NA
"38","0","Virginia","2","Architecture and Construction","2.0999999046325684","Design/Pre-Construction",NA,NA,NA,NA,NA,NA,"No data",33446,35717,2271,0.0679004937410355,NA,3302,NA,NA,"Design/
Pre-Construction"
"39","0","Virginia","2","Architecture and Construction","2.0999999046325684","Design/Pre-Construction","131051","Cost Estimators","Bachelor's Degree & Training / Certification","Bachelor's Degree","Training / Certification",NA,"F",9391,10363,972,0.103503353893757,0.086,1072,75597,68991,"Design/
Pre-Construction"
"40","0","Virginia","2","Architecture and Construction","2.0999999046325684","Design/Pre-Construction","171011","Architects, Except Landscape and Naval","Bachelor's Degree & Training / Certification","Bachelor's Degree","Training / Certification",NA,"N",3353,3585,232,0.0691917687654495,0.084,289,86867,84486,"Design/
Pre-Construction"
"41","0","Virginia","2","Architecture and Construction","2.0999999046325684","Design/Pre-Construction","171012","Landscape Architects","Bachelor's Degree & Training / Certification","Bachelor's Degree","Training / Certification",NA,"No data",994,1033,39,0.0392354130744934,0.044,82,87375,79439,"Design/
Pre-Construction"
"42","0","Virginia","2","Architecture and Construction","2.0999999046325684","Design/Pre-Construction","171022","Surveyors","Bachelor's Degree & Training / Certification","Bachelor's Degree","Training / Certification",NA,"No data",1636,1696,60,0.0366748161613941,0.06,128,71453,64341,"Design/
Pre-Construction"
"43","0","Virginia","2","Architecture and Construction","2.0999999046325684","Design/Pre-Construction","172051","Civil Engineers","Bachelor's Degree","Bachelor's Degree",NA,NA,"F",11310,12032,722,0.0638373121619225,0.063,980,96430,89603,"Design/
Pre-Construction"
"44","0","Virginia","2","Architecture and Construction","2.0999999046325684","Design/Pre-Construction","173011","Architectural and Civil Drafters","Some College / Associate Degree","Some College / Associate Degree",NA,NA,"No data",2448,2441,-7,-0.00285947718657553,0.018,250,55337,52855,"Design/
Pre-Construction"
"45","0","Virginia","2","Architecture and Construction","2.0999999046325684","Design/Pre-Construction","173022","Civil Engineering Technicians","Some College / Associate Degree","Some College / Associate Degree",NA,NA,"No data",2182,2307,125,0.0572868920862675,0.05,230,55825,52926,"Design/
Pre-Construction"
"46","0","Virginia","2","Architecture and Construction","2.0999999046325684","Design/Pre-Construction","173031","Surveying and Mapping Technicians","Some College / Associate Degree & Training / Certification","Some College / Associate Degree","Training / Certification",NA,"F",2132,2260,128,0.0600375235080719,0.054,271,48398,45387,"Design/
Pre-Construction"
"47","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction",NA,NA,NA,NA,NA,NA,"No data",173106,190425,17319,0.100048527121544,NA,21508,NA,NA,"Construction"
"48","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","119021","Construction Managers","Bachelor's Degree & Training / Certification","Bachelor's Degree","Training / Certification",NA,"F",8950,9923,973,0.108715087175369,0.098,776,112111,101193,"Construction"
"49","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","471011","First-Line Supervisors of Construction Trades and Extraction Workers","HS Diploma & Work experience","High School Diploma",NA,"Work experience","F",22398,24914,2516,0.112331457436085,0.104,2711,68826,64614,"Construction"
"50","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","472021","Brickmasons and Blockmasons","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",4010,4411,401,0.100000001490116,0.097,461,46138,47034,"Construction"
"51","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","472031","Carpenters","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"F",23897,26982,3085,0.129095703363419,0.08,2941,44511,42812,"Construction"
"52","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","472041","Carpet Installers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",431,417,-14,-0.032482597976923,-0.019,40,38335,31569,"Construction"
"53","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","472044","Tile and Marble Setters","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",961,1108,147,0.152965664863586,0.176,116,44643,44246,"Construction"
"54","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","472061","Construction Laborers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"F",31373,34700,3327,0.106046602129936,0.105,4008,32505,31427,"Construction"
"55","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","472071","Paving, Surfacing, and Tamping Equipment Operators","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",1971,2149,178,0.0903094857931137,0.108,275,34764,33625,"Construction"
"56","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","472072","Pile-Driver Operators","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",119,127,8,0.0672268941998482,0.107,15,53077,49079,"Construction"
"57","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","472073","Operating Engineers and Other Construction Equipment Operators","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",10881,11643,762,0.0700303316116333,0.096,1374,43208,40919,"Construction"
"58","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","472111","Electricians","Some College / Associate Degree & Training / Certification","Some College / Associate Degree","Training / Certification",NA,"F",17037,18472,1435,0.084228441119194,0.104,2201,52182,49496,"Construction"
"59","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","472121","Glaziers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",1140,1245,105,0.0921052619814873,0.107,147,41326,39230,"Construction"
"60","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","472141","Painters, Construction and Maintenance","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",9515,10082,567,0.0595901198685169,0.06,1049,40238,38589,"Construction"
"61","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","472151","Pipelayers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",1439,1584,145,0.100764416158199,0.122,182,36707,34917,"Construction"
"62","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","472152","Plumbers, Pipefitters, and Steamfitters","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"F",14880,16543,1663,0.111760750412941,0.136,1908,51205,50829,"Construction"
"63","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","472211","Sheet Metal Workers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"F",4252,4549,297,0.0698494836688042,0.08,507,48265,48346,"Construction"
"64","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","472221","Structural Iron and Steel Workers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",1508,1646,138,0.0915119349956512,0.115,200,52110,50900,"Construction"
"65","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","473011","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",1653,1843,190,0.114942528307438,0.108,255,31407,30084,"Construction"
"66","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","473012","Helpers--Carpenters","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",2142,2521,379,0.176937445998192,0.116,352,29789,29280,"Construction"
"67","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","473013","Helpers--Electricians","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",3278,3427,149,0.0454545468091965,0.069,466,31040,30979,"Construction"
"68","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","473014","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",347,354,7,0.0201729107648134,0.05,49,29138,28629,"Construction"
"69","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","473015","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",2484,2844,360,0.144927531480789,0.156,395,31447,30878,"Construction"
"70","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","473016","Helpers--Roofers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",513,565,52,0.101364523172379,0.13,78,30206,29525,"Construction"
"71","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","473019","Helpers, Construction Trades, All Other","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",1398,1514,116,0.0829756781458855,0.102,208,31885,30461,"Construction"
"72","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","474031","Fence Erectors","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",1187,1288,101,0.0850884616374969,0.101,155,37491,32984,"Construction"
"73","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","475021","Earth Drillers, Except Oil and Gas","HS Diploma & Training / Certification & Work experience","High School Diploma","Training / Certification","Work experience","No data",373,404,31,0.0831099227070808,0.137,55,46871,45884,"Construction"
"74","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","499096","Riggers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",1429,1479,50,0.0349895022809505,0.055,145,50523,52975,"Construction"
"75","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","537021","Crane and Tower Operators","HS Diploma & Training / Certification & Work experience","High School Diploma","Training / Certification","Work experience","F",1590,1611,21,0.0132075473666191,0.049,188,68055,63244,"Construction"
"76","0","Virginia","2","Architecture and Construction","2.2000000476837158","Construction","537032","Excavating and Loading Machine and Dragline Operators","HS Diploma & Training / Certification & Work experience","High School Diploma","Training / Certification","Work experience","No data",1950,2080,130,0.0666666701436043,0.074,251,44288,43500,"Construction"
"77","0","Virginia","2","Architecture and Construction","2.2999999523162842","Maintenance/Operations",NA,NA,NA,NA,NA,NA,"No data",171909,186622,14713,0.0855859816074371,NA,22789,NA,NA,"Maintenance/
Operations"
"78","0","Virginia","2","Architecture and Construction","2.2999999523162842","Maintenance/Operations","371011","First-Line Supervisors of Housekeeping and Janitorial Workers","HS Diploma & Work experience","High School Diploma",NA,"Work experience","N",6963,7563,600,0.0861697569489479,0.068,884,42976,40406,"Maintenance/
Operations"
"79","0","Virginia","2","Architecture and Construction","2.2999999523162842","Maintenance/Operations","371012","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","HS Diploma & Work experience","High School Diploma",NA,"Work experience","F",5259,5799,540,0.102681115269661,0.087,655,51770,49458,"Maintenance/
Operations"
"80","0","Virginia","2","Architecture and Construction","2.2999999523162842","Maintenance/Operations","372011","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",65506,71083,5577,0.085137240588665,0.066,9552,27185,25018,"Maintenance/
Operations"
"81","0","Virginia","2","Architecture and Construction","2.2999999523162842","Maintenance/Operations","373011","Landscaping and Groundskeeping Workers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"F",33659,37379,3720,0.110520213842392,0.088,4972,30963,29518,"Maintenance/
Operations"
"82","0","Virginia","2","Architecture and Construction","2.2999999523162842","Maintenance/Operations","472011","Boilermakers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",390,402,12,0.0307692307978868,0.059,40,58306,55966,"Maintenance/
Operations"
"83","0","Virginia","2","Architecture and Construction","2.2999999523162842","Maintenance/Operations","474051","Highway Maintenance Workers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"F",4038,4216,178,0.0440812297165394,0.048,476,38111,37277,"Maintenance/
Operations"
"84","0","Virginia","2","Architecture and Construction","2.2999999523162842","Maintenance/Operations","474071","Septic Tank Servicers and Sewer Pipe Cleaners","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",849,970,121,0.142520606517792,0.134,115,42527,39281,"Maintenance/
Operations"
"85","0","Virginia","2","Architecture and Construction","2.2999999523162842","Maintenance/Operations","499011","Mechanical Door Repairers","Some College / Associate Degree & Training / Certification","Some College / Associate Degree","Training / Certification",NA,"No data",604,665,61,0.100993379950523,0.098,60,40648,39574,"Maintenance/
Operations"
"86","0","Virginia","2","Architecture and Construction","2.2999999523162842","Maintenance/Operations","499012","Control and Valve Installers and Repairers, Except Mechanical Door","Some College / Associate Degree & Training / Certification","Some College / Associate Degree","Training / Certification",NA,"No data",1112,1140,28,0.0251798555254936,0.016,99,65707,64198,"Maintenance/
Operations"
"87","0","Virginia","2","Architecture and Construction","2.2999999523162842","Maintenance/Operations","499021","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Some College / Associate Degree & Training / Certification","Some College / Associate Degree","Training / Certification",NA,"F",14113,15608,1495,0.10593070089817,0.126,1601,50858,50615,"Maintenance/
Operations"
"88","0","Virginia","2","Architecture and Construction","2.2999999523162842","Maintenance/Operations","499044","Millwrights","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"F",667,705,38,0.05697151273489,0.089,63,52306,51161,"Maintenance/
Operations"
"89","0","Virginia","2","Architecture and Construction","2.2999999523162842","Maintenance/Operations","499071","Maintenance and Repair Workers, General","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"F",32737,34726,1989,0.06075694039464,0.057,3469,42096,39584,"Maintenance/
Operations"
"90","0","Virginia","2","Architecture and Construction","2.2999999523162842","Maintenance/Operations","499098","Helpers--Installation, Maintenance, and Repair Workers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",4899,5299,400,0.0816493183374405,0.079,692,29951,29030,"Maintenance/
Operations"
"91","0","Virginia","2","Architecture and Construction","2.2999999523162842","Maintenance/Operations","518021","Stationary Engineers and Boiler Operators","Some College / Associate Degree & Training / Certification","Some College / Associate Degree","Training / Certification",NA,"F",1113,1067,-46,-0.041329737752676,0.027,111,54323,52400,"Maintenance/
Operations"
"92","0","Virginia","3","Arts, Audio/Video Technology, and Communications",NA,NA,NA,NA,NA,NA,NA,NA,"No data",57464,58661,1197,0.0208304338157177,NA,6385,NA,NA,NA
"93","0","Virginia","3","Arts, Audio/Video Technology, and Communications","3.0999999046325684","Audio/Video Technology and Film",NA,NA,NA,NA,NA,NA,"No data",4481,4790,309,0.0689578205347061,NA,520,NA,NA,"Audio/
Video
Technology
and
Film"
"94","0","Virginia","3","Arts, Audio/Video Technology, and Communications","3.0999999046325684","Audio/Video Technology and Film","271014","Multimedia Artists and Animators","Bachelor's Degree","Bachelor's Degree",NA,NA,"No data",1157,1207,50,0.0432152114808559,0.042,133,66569,64677,"Audio/
Video
Technology
and
Film"
"95","0","Virginia","3","Arts, Audio/Video Technology, and Communications","3.0999999046325684","Audio/Video Technology and Film","274011","Audio and Video Equipment Technicians","Bachelor's Degree & Training / Certification","Bachelor's Degree","Training / Certification",NA,"No data",1950,2141,191,0.0979487150907516,0.116,238,50901,46323,"Audio/
Video
Technology
and
Film"
"96","0","Virginia","3","Arts, Audio/Video Technology, and Communications","3.0999999046325684","Audio/Video Technology and Film","274031","Camera Operators, Television, Video, and Motion Picture","Bachelor's Degree","Bachelor's Degree",NA,NA,"No data",568,586,18,0.031690139323473,0.081,58,56375,56151,"Audio/
Video
Technology
and
Film"
"97","0","Virginia","3","Arts, Audio/Video Technology, and Communications","3.0999999046325684","Audio/Video Technology and Film","274032","Film and Video Editors","Bachelor's Degree","Bachelor's Degree",NA,NA,"No data",363,406,43,0.118457302451134,0.139,41,65715,60536,"Audio/
Video
Technology
and
Film"
"98","0","Virginia","3","Arts, Audio/Video Technology, and Communications","3.0999999046325684","Audio/Video Technology and Film","492097","Electronic Home Entertainment Equipment Installers and Repairers","Some College / Associate Degree & Training / Certification","Some College / Associate Degree","Training / Certification",NA,"No data",443,450,7,0.0158013552427292,-0.015,50,43777,39533,"Audio/
Video
Technology
and
Film"
"99","0","Virginia","3","Arts, Audio/Video Technology, and Communications","3.2000000476837158","Printing Technology",NA,NA,NA,NA,NA,NA,"No data",6156,5213,-943,-0.15318389236927,NA,565,NA,NA,"Printing
Technology"
"100","0","Virginia","3","Arts, Audio/Video Technology, and Communications","3.2000000476837158","Printing Technology","515111","Prepress Technicians and Workers","Some College / Associate Degree & Training / Certification","Some College / Associate Degree","Training / Certification",NA,"No data",716,562,-154,-0.215083792805672,-0.208,63,43746,42959,"Printing
Technology"
"101","0","Virginia","3","Arts, Audio/Video Technology, and Communications","3.2000000476837158","Printing Technology","515112","Printing Press Operators","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"F",4141,3569,-572,-0.138130888342857,-0.118,358,39573,38919,"Printing
Technology"
"102","0","Virginia","3","Arts, Audio/Video Technology, and Communications","3.2000000476837158","Printing Technology","515113","Print Binding and Finishing Workers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",1299,1082,-217,-0.167051583528519,-0.152,144,38387,38100,"Printing
Technology"
"103","0","Virginia","3","Arts, Audio/Video Technology, and Communications","3.2999999523162842","Visual Arts",NA,NA,NA,NA,NA,NA,"No data",15474,15702,228,0.0147343929857016,NA,1607,NA,NA,"Visual
Arts"
"104","0","Virginia","3","Arts, Audio/Video Technology, and Communications","3.2999999523162842","Visual Arts","254012","Curators","Graduate / Professional Degree","Graduate / Professional Degree",NA,NA,"No data",317,344,27,0.0851735025644302,0.095,39,64239,61981,"Visual
Arts"
"105","0","Virginia","3","Arts, Audio/Video Technology, and Communications","3.2999999523162842","Visual Arts","254013","Museum Technicians and Conservators","Graduate / Professional Degree","Graduate / Professional Degree",NA,NA,"No data",447,484,37,0.0827740505337715,0.087,55,45885,42986,"Visual
Arts"
